class,ruletype_longname,ruletype_shortname,"linguistic pattern","order of arguments",patterntype,subject,predicate,object,condAB,condBA,supA,supB,supAB,AllConf,Coherence,Cosine,IR,Kulczynski,MaxConf,string
http://dbpedia.org/ontology/Actor,predict_localized_l_for_s_given_po,"c_s,po => ll_s",actor,os,onegram,,http://dbpedia.org/ontology/birthYear,"""1906""^^<http://www.w3.org/2001/XMLSchema#gYear>",0.666666666666667,0.222222222222222,3,9,2,0.222222222222222,0.166666666666667,0.384900179459751,0.6,0.444444444444444,0.666666666666667,"dbo:Actor in c_e and (e, dbo:birthYear, ""1906""^^<http://www.w3.org/2001/XMLSchema#gYear>) in G => 'actor' in l_e(c,p,os)"
http://dbpedia.org/ontology/Actor,predict_localized_l_for_s_given_po,"c_s,po => ll_s",died,so,onegram,,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Sweden,0.333333333333333,0.4,6,5,2,0.333333333333333,0.181818181818182,0.365148371670111,0.111111111111111,0.366666666666667,0.4,"dbo:Actor in c_e and (e, dbo:deathPlace, dbr:Sweden) in G => 'died' in l_e(c,p,so)"
http://dbpedia.org/ontology/Actor,predict_localized_l_for_s_given_po,"c_s,po => ll_s",film,os,onegram,,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Sweden,0.666666666666667,0.8,6,5,4,0.666666666666667,0.363636363636364,0.730296743340221,0.142857142857143,0.733333333333333,0.8,"dbo:Actor in c_e and (e, dbo:deathPlace, dbr:Sweden) in G => 'film' in l_e(c,p,os)"
http://dbpedia.org/ontology/Actor,predict_localized_l_for_s_given_po,"c_s,po => ll_s",actor,os,onegram,,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Sweden,0.5,0.6,6,5,3,0.5,0.272727272727273,0.547722557505166,0.125,0.55,0.6,"dbo:Actor in c_e and (e, dbo:deathPlace, dbr:Sweden) in G => 'actor' in l_e(c,p,os)"
http://dbpedia.org/ontology/Actor,predict_localized_l_for_s_given_po,"c_s,po => ll_s",died,so,onegram,,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/London,0.4,0.4,5,5,2,0.4,0.2,0.4,0,0.4,0.4,"dbo:Actor in c_e and (e, dbo:deathPlace, dbr:London) in G => 'died' in l_e(c,p,so)"
http://dbpedia.org/ontology/Actor,predict_localized_l_for_s_given_po,"c_s,po => ll_s",died,so,onegram,,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/England,0.285714285714286,0.4,7,5,2,0.285714285714286,0.166666666666667,0.338061701891407,0.2,0.342857142857143,0.4,"dbo:Actor in c_e and (e, dbo:deathPlace, dbr:England) in G => 'died' in l_e(c,p,so)"
http://dbpedia.org/ontology/Actor,predict_localized_l_for_s_given_po,"c_s,po => ll_s",actor,os,onegram,,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/England,0.285714285714286,0.4,7,5,2,0.285714285714286,0.166666666666667,0.338061701891407,0.2,0.342857142857143,0.4,"dbo:Actor in c_e and (e, dbo:deathPlace, dbr:England) in G => 'actor' in l_e(c,p,os)"
http://dbpedia.org/ontology/Actor,predict_localized_l_for_s_given_po,"c_s,po => ll_s","film actor",os,twogram,,http://dbpedia.org/ontology/nationality,http://dbpedia.org/resource/Sweden,0.263157894736842,1,19,5,5,0.263157894736842,0.208333333333333,0.512989176042577,0.736842105263158,0.631578947368421,1,"dbo:Actor in c_e and (e, dbo:nationality, dbr:Sweden) in G => 'film actor' in l_e(c,p,os)"
http://dbpedia.org/ontology/Actor,predict_localized_l_for_s_given_po,"c_s,po => ll_s",actor,os,onegram,,http://dbpedia.org/ontology/nationality,http://dbpedia.org/resource/Sweden,0.473684210526316,1,19,9,9,0.473684210526316,0.321428571428571,0.688247201611685,0.526315789473684,0.736842105263158,1,"dbo:Actor in c_e and (e, dbo:nationality, dbr:Sweden) in G => 'actor' in l_e(c,p,os)"
http://dbpedia.org/ontology/Actor,predict_localized_l_for_s_given_po,"c_s,po => ll_s",film,os,onegram,,http://dbpedia.org/ontology/nationality,http://dbpedia.org/resource/Sweden,0.315789473684211,1,19,6,6,0.315789473684211,0.24,0.561951486949016,0.684210526315789,0.657894736842105,1,"dbo:Actor in c_e and (e, dbo:nationality, dbr:Sweden) in G => 'film' in l_e(c,p,os)"
http://dbpedia.org/ontology/Actor,predict_localized_l_for_s_given_po,"c_s,po => ll_s",born,so,onegram,,http://dbpedia.org/ontology/nationality,http://dbpedia.org/resource/Sweden,0.368421052631579,1,19,7,7,0.368421052631579,0.269230769230769,0.606976978666884,0.631578947368421,0.684210526315789,1,"dbo:Actor in c_e and (e, dbo:nationality, dbr:Sweden) in G => 'born' in l_e(c,p,so)"
http://dbpedia.org/ontology/Actor,predict_localized_l_for_s_given_po,"c_s,po => ll_s",born,so,onegram,,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/England,0.375,0.333333333333333,8,9,3,0.333333333333333,0.176470588235294,0.353553390593274,0.0714285714285715,0.354166666666667,0.375,"dbo:Actor in c_e and (e, dbo:birthPlace, dbr:England) in G => 'born' in l_e(c,p,so)"
http://dbpedia.org/ontology/Actor,predict_localized_l_for_s_given_po,"c_s,po => ll_s",actor,os,onegram,,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/England,0.25,0.285714285714286,8,7,2,0.25,0.133333333333333,0.267261241912424,0.0769230769230769,0.267857142857143,0.285714285714286,"dbo:Actor in c_e and (e, dbo:birthPlace, dbr:England) in G => 'actor' in l_e(c,p,os)"
http://dbpedia.org/ontology/Actor,predict_localized_l_for_s_given_po,"c_s,po => ll_s",born,so,onegram,,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Sweden,0.222222222222222,0.222222222222222,9,9,2,0.222222222222222,0.111111111111111,0.222222222222222,0,0.222222222222222,0.222222222222222,"dbo:Actor in c_e and (e, dbo:birthPlace, dbr:Sweden) in G => 'born' in l_e(c,p,so)"
http://dbpedia.org/ontology/Actor,predict_localized_l_for_s_given_po,"c_s,po => ll_s",actor,os,onegram,,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Sweden,0.555555555555556,0.714285714285714,9,7,5,0.555555555555556,0.3125,0.629940788348712,0.181818181818182,0.634920634920635,0.714285714285714,"dbo:Actor in c_e and (e, dbo:birthPlace, dbr:Sweden) in G => 'actor' in l_e(c,p,os)"
http://dbpedia.org/ontology/Actor,predict_localized_l_for_s_given_po,"c_s,po => ll_s",film,os,onegram,,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Sweden,0.444444444444444,0.8,9,5,4,0.444444444444444,0.285714285714286,0.596284793999944,0.4,0.622222222222222,0.8,"dbo:Actor in c_e and (e, dbo:birthPlace, dbr:Sweden) in G => 'film' in l_e(c,p,os)"
http://dbpedia.org/ontology/Actor,predict_localized_l_for_s_given_po,"c_s,po => ll_s",born,so,onegram,,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/France,0.4,0.222222222222222,5,9,2,0.222222222222222,0.142857142857143,0.298142396999972,0.333333333333333,0.311111111111111,0.4,"dbo:Actor in c_e and (e, dbo:birthPlace, dbr:France) in G => 'born' in l_e(c,p,so)"
http://dbpedia.org/ontology/Actor,predict_localized_l_for_s_given_po,"c_s,po => ll_s",born,so,onegram,,http://dbpedia.org/property/birthPlace,http://dbpedia.org/resource/England,0.375,0.428571428571429,8,7,3,0.375,0.2,0.400891862868637,0.0833333333333333,0.401785714285714,0.428571428571429,"dbo:Actor in c_e and (e, dbp:birthPlace, dbr:England) in G => 'born' in l_e(c,p,so)"
http://dbpedia.org/ontology/Actor,predict_localized_l_for_s_given_po,"c_s,po => ll_s",actor,os,onegram,,http://dbpedia.org/property/birthPlace,http://dbpedia.org/resource/England,0.25,0.4,8,5,2,0.25,0.153846153846154,0.316227766016838,0.272727272727273,0.325,0.4,"dbo:Actor in c_e and (e, dbp:birthPlace, dbr:England) in G => 'actor' in l_e(c,p,os)"
