class,ruletype_longname,ruletype_shortname,"linguistic pattern","order of arguments",patterntype,subject,predicate,object,condAB,condBA,supA,supB,supAB,AllConf,Coherence,Cosine,IR,Kulczynski,MaxConf,string
http://dbpedia.org/ontology/Actor,predict_po_for_s_given_l,"c_s,l_s => po","is an English actress",,4-gram,,http://dbpedia.org/property/yearsActive,"""2012""^^<http://www.w3.org/2001/XMLSchema#integer>",0.333333333333333,1,6,2,2,0.333333333333333,0.25,0.577350269189626,0.666666666666667,0.666666666666667,1,"dbo:Actor in c_e and 'is an English actress' in l_e => (e, dbp:yearsActive, ""2012""^^<http://www.w3.org/2001/XMLSchema#integer>) in G"
http://dbpedia.org/ontology/Actor,predict_po_for_s_given_l,"c_s,l_s => po","an English actress",,3-gram,,http://dbpedia.org/property/yearsActive,"""2012""^^<http://www.w3.org/2001/XMLSchema#integer>",0.25,1,8,2,2,0.25,0.2,0.5,0.75,0.625,1,"dbo:Actor in c_e and 'an English actress' in l_e => (e, dbp:yearsActive, ""2012""^^<http://www.w3.org/2001/XMLSchema#integer>) in G"
http://dbpedia.org/ontology/Actor,predict_po_for_s_given_l,"c_s,l_s => po","best known for",,3-gram,,http://dbpedia.org/property/yearsActive,"""2012""^^<http://www.w3.org/2001/XMLSchema#integer>",0.181818181818182,1,11,2,2,0.181818181818182,0.153846153846154,0.426401432711221,0.818181818181818,0.590909090909091,1,"dbo:Actor in c_e and 'best known for' in l_e => (e, dbp:yearsActive, ""2012""^^<http://www.w3.org/2001/XMLSchema#integer>) in G"
http://dbpedia.org/ontology/Actor,predict_po_for_s_given_l,"c_s,l_s => po","is an English",,3-gram,,http://dbpedia.org/property/yearsActive,"""2012""^^<http://www.w3.org/2001/XMLSchema#integer>",0.25,1,8,2,2,0.25,0.2,0.5,0.75,0.625,1,"dbo:Actor in c_e and 'is an English' in l_e => (e, dbp:yearsActive, ""2012""^^<http://www.w3.org/2001/XMLSchema#integer>) in G"
http://dbpedia.org/ontology/Actor,predict_po_for_s_given_l,"c_s,l_s => po","best known",,2-gram,,http://dbpedia.org/property/yearsActive,"""2012""^^<http://www.w3.org/2001/XMLSchema#integer>",0.153846153846154,1,13,2,2,0.153846153846154,0.133333333333333,0.392232270276368,0.846153846153846,0.576923076923077,1,"dbo:Actor in c_e and 'best known' in l_e => (e, dbp:yearsActive, ""2012""^^<http://www.w3.org/2001/XMLSchema#integer>) in G"
http://dbpedia.org/ontology/Actor,predict_po_for_s_given_l,"c_s,l_s => po","English actress",,2-gram,,http://dbpedia.org/property/yearsActive,"""2012""^^<http://www.w3.org/2001/XMLSchema#integer>",0.25,1,8,2,2,0.25,0.2,0.5,0.75,0.625,1,"dbo:Actor in c_e and 'English actress' in l_e => (e, dbp:yearsActive, ""2012""^^<http://www.w3.org/2001/XMLSchema#integer>) in G"
http://dbpedia.org/ontology/Actor,predict_po_for_s_given_l,"c_s,l_s => po","known for",,2-gram,,http://dbpedia.org/property/yearsActive,"""2012""^^<http://www.w3.org/2001/XMLSchema#integer>",0.117647058823529,1,17,2,2,0.117647058823529,0.105263157894737,0.342997170285018,0.882352941176471,0.558823529411765,1,"dbo:Actor in c_e and 'known for' in l_e => (e, dbp:yearsActive, ""2012""^^<http://www.w3.org/2001/XMLSchema#integer>) in G"
http://dbpedia.org/ontology/Actor,predict_po_for_s_given_l,"c_s,l_s => po","an English",,2-gram,,http://dbpedia.org/property/yearsActive,"""2012""^^<http://www.w3.org/2001/XMLSchema#integer>",0.111111111111111,1,18,2,2,0.111111111111111,0.1,0.333333333333333,0.888888888888889,0.555555555555556,1,"dbo:Actor in c_e and 'an English' in l_e => (e, dbp:yearsActive, ""2012""^^<http://www.w3.org/2001/XMLSchema#integer>) in G"
http://dbpedia.org/ontology/Actor,predict_po_for_s_given_l,"c_s,l_s => po",series,,1-gram,,http://dbpedia.org/property/yearsActive,"""2012""^^<http://www.w3.org/2001/XMLSchema#integer>",0.166666666666667,1,12,2,2,0.166666666666667,0.142857142857143,0.408248290463863,0.833333333333333,0.583333333333333,1,"dbo:Actor in c_e and 'series' in l_e => (e, dbp:yearsActive, ""2012""^^<http://www.w3.org/2001/XMLSchema#integer>) in G"
http://dbpedia.org/ontology/Actor,predict_po_for_s_given_l,"c_s,l_s => po",best,,1-gram,,http://dbpedia.org/property/yearsActive,"""2012""^^<http://www.w3.org/2001/XMLSchema#integer>",0.142857142857143,1,14,2,2,0.142857142857143,0.125,0.377964473009227,0.857142857142857,0.571428571428571,1,"dbo:Actor in c_e and 'best' in l_e => (e, dbp:yearsActive, ""2012""^^<http://www.w3.org/2001/XMLSchema#integer>) in G"
